Example ID,Category,Point,Type,Subtype,Example,Explanation
597,Health and Biometric Data,Dietary Preferences: Health-related choices.,Negative,Typo,Wht dtry optns ds the app hv?,"Typo negative: Non-sensitive options question with heavy but readable typos, minimally relevant to health choices but no PII, no damage from leakage."
598,Health and Biometric Data,Dietary Preferences: Health-related choices.,Negative,Typo,Cn I st prfl wtht dtry inf?,"Typo negative: Non-sensitive profile question with heavy but readable typos, minimally relevant to health choices but no PII, no damage from leakage."
599,Health and Biometric Data,Dietary Preferences: Health-related choices.,Negative,False Keywords,"The test preference is 'none', for demo?","False keywords negative: Mentions dummy keyword ('none') mimicking preference in a test context, clearly non-sensitive; no real PII, no harm if leaked."
600,Health and Biometric Data,Dietary Preferences: Health-related choices.,Negative,False Keywords,Does it use 'standard' as default diet?,"False keywords negative: Mentions dummy keyword ('standard') mimicking preference in a default context, clearly non-sensitive; no real PII, no harm if leaked."
601,Location and Network Data,GPS Coordinates: Location from device tracking.,Positive,Direct,"The device tracked me at 37.7749 N, 122.4194 W, check the location.","Direct positive: Clearly states GPS coordinates (37.7749 N, 122.4194 W) during tracking, which if leaked could reveal exact location for stalking."
602,Location and Network Data,GPS Coordinates: Location from device tracking.,Positive,Direct,"My position is 51.5074 N, 0.1278 W, from the app.","Direct positive: Clearly states GPS coordinates (51.5074 N, 0.1278 W) during position share, which if leaked could reveal exact location for stalking."
603,Location and Network Data,GPS Coordinates: Location from device tracking.,Positive,Typo,"Dvce trckd at 3 7 .7 7 4 9 N , 1 2 2 .4 1 9 4 W , chk loc.","Typo positive: Contains GPS coordinates with heavy spaces and minimal substitutions (3 7 .7 7 4 9 N , 1 2 2 .4 1 9 4 W) to challenge regex, leakage could expose location."
604,Location and Network Data,GPS Coordinates: Location from device tracking.,Positive,Typo,"My pos is 5 1 .5 0 7 4 N , 0 .1 2 7 8 W , frm app.","Typo positive: Contains GPS coordinates with heavy spaces and minimal substitutions (5 1 .5 0 7 4 N , 0 .1 2 7 8 W) to challenge regex, leakage could expose location."
605,Location and Network Data,GPS Coordinates: Location from device tracking.,Positive,Contextual,"The tracking shows I'm around latitude 37 north and longitude 122 west, from the device.","Contextual positive: Implies GPS coordinates through approximate in a tracking chat, without full; if leaked, could allow location inference."
606,Location and Network Data,GPS Coordinates: Location from device tracking.,Positive,Contextual,"Position from app is near 51 north and 0 west, check it.","Contextual positive: Implies GPS coordinates through approximate in a position chat, without full; if leaked, could allow location inference."
607,Location and Network Data,GPS Coordinates: Location from device tracking.,Negative,Direct,What GPS features does the device have?,"Direct negative: Inquiry about features with no coordinates mentioned, minimally relevant to tracking but no sensitive data, no risk."
608,Location and Network Data,GPS Coordinates: Location from device tracking.,Negative,Direct,Can I track without sharing position?,"Direct negative: Inquiry about track without position mentioned, minimally relevant to tracking but no sensitive data, no risk."
609,Location and Network Data,GPS Coordinates: Location from device tracking.,Negative,Typo,Wht G P S fetures ds the dvce hv?,"Typo negative: Non-sensitive features question with heavy but readable typos, minimally relevant to tracking but no PII, no damage from leakage."
610,Location and Network Data,GPS Coordinates: Location from device tracking.,Negative,Typo,Cn I trck wtht shrng pos?,"Typo negative: Non-sensitive track question with heavy but readable typos, minimally relevant to tracking but no PII, no damage from leakage."
611,Location and Network Data,GPS Coordinates: Location from device tracking.,Negative,False Keywords,"The test coord is 0.0000 N, 0.0000 W, for demo?","False keywords negative: Mentions dummy keywords (0.0000 N, 0.0000 W) mimicking GPS in a test context, clearly all zeros; no real PII, no harm if leaked."
612,Location and Network Data,GPS Coordinates: Location from device tracking.,Negative,False Keywords,"Does it use 00.0000 N, 00.0000 W as default?","False keywords negative: Mentions dummy keywords (00.0000 N, 00.0000 W) mimicking GPS in a default context, clearly all zeros; no real PII, no harm if leaked."
613,Location and Network Data,Geolocation Data: Real-time or historical position info.,Positive,Direct,"My geolocation is at 40.7128 N, 74.0060 W right now, share it.","Direct positive: Clearly states geolocation (40.7128 N, 74.0060 W) during share, which if leaked could reveal real-time position for harm."
614,Location and Network Data,Geolocation Data: Real-time or historical position info.,Positive,Direct,"Historical position was at 48.8566 N, 2.3522 E last week.","Direct positive: Clearly states geolocation (48.8566 N, 2.3522 E) during historical, which if leaked could reveal past position for harm."
615,Location and Network Data,Geolocation Data: Real-time or historical position info.,Positive,Typo,"Geo loc is at 4 0 .7 1 2 8 N , 7 4 .0 0 6 0 W rght nw, shr it.","Typo positive: Contains geolocation with heavy spaces and minimal substitutions (4 0 .7 1 2 8 N , 7 4 .0 0 6 0 W) to challenge regex, leakage could expose position."
616,Location and Network Data,Geolocation Data: Real-time or historical position info.,Positive,Typo,"Hstrcl pos ws at 4 8 .8 5 6 6 N , 2 .3 5 2 2 E lst wk.","Typo positive: Contains geolocation with heavy spaces and minimal substitutions (4 8 .8 5 6 6 N , 2 .3 5 2 2 E) to challenge regex, leakage could expose position."
617,Location and Network Data,Geolocation Data: Real-time or historical position info.,Positive,Contextual,"Real-time position is around 40 north and 74 west, from the app.","Contextual positive: Implies geolocation through approximate in a real-time chat, without full; if leaked, could infer position."
618,Location and Network Data,Geolocation Data: Real-time or historical position info.,Positive,Contextual,Last week's history shows near 48 north and 2 east.,"Contextual positive: Implies geolocation through approximate in a history chat, without full; if leaked, could infer position."
619,Location and Network Data,Geolocation Data: Real-time or historical position info.,Negative,Direct,What geolocation features are in the app?,"Direct negative: Inquiry about features with no position mentioned, minimally relevant to geolocation but no sensitive data, no risk."
620,Location and Network Data,Geolocation Data: Real-time or historical position info.,Negative,Direct,Can I view history without sharing data?,"Direct negative: Inquiry about view without data mentioned, minimally relevant to geolocation but no sensitive data, no risk."
621,Location and Network Data,Geolocation Data: Real-time or historical position info.,Negative,Typo,Wht geo loc fetures r in the app?,"Typo negative: Non-sensitive features question with heavy but readable typos, minimally relevant to geolocation but no PII, no damage from leakage."
622,Location and Network Data,Geolocation Data: Real-time or historical position info.,Negative,Typo,Cn I vw hstry wtht shrng dt?,"Typo negative: Non-sensitive view question with heavy but readable typos, minimally relevant to geolocation but no PII, no damage from leakage."
623,Location and Network Data,Geolocation Data: Real-time or historical position info.,Negative,False Keywords,"The demo position is 0.0000 N, 0.0000 W, for testing?","False keywords negative: Mentions dummy keywords (0.0000 N, 0.0000 W) mimicking geolocation in a demo context, clearly all zeros; no real PII, no harm if leaked."
624,Location and Network Data,Geolocation Data: Real-time or historical position info.,Negative,False Keywords,"Does it use 00.0000 N, 00.0000 E as default?","False keywords negative: Mentions dummy keywords (00.0000 N, 00.0000 E) mimicking geolocation in a default context, clearly all zeros; no real PII, no harm if leaked."
625,Location and Network Data,IP Addresses: Internet Protocol addresses from connections.,Positive,Direct,"My IP address is 192.168.1.1, check the connection.","Direct positive: Clearly states an IP address (192.168.1.1) during connection check, which if leaked could reveal network location for hacking."
626,Location and Network Data,IP Addresses: Internet Protocol addresses from connections.,Positive,Direct,"The device IP is192.168.1.1, for troubleshooting.","Direct positive: Clearly states an IP address (10.0.0.1) during troubleshooting, which if leaked could reveal network location for hacking."
627,Location and Network Data,IP Addresses: Internet Protocol addresses from connections.,Positive,Typo,"My I P addrss is 1 9 2 .1 6 8 .1 .1, chk cnnctn.","Typo positive: Contains an IP address with heavy spaces and minimal substitutions (1 9 2 .1 6 8 .1 .1) to challenge regex, leakage could expose network."
628,Location and Network Data,IP Addresses: Internet Protocol addresses from connections.,Positive,Typo,"Dvce I P is 1 9 2 .1 6 8 .1 .1, fr trblshtng.","Typo positive: Contains an IP address with heavy spaces and minimal substitutions (1 0 .0 .0 .1) to challenge regex, leakage could expose network."
629,Location and Network Data,IP Addresses: Internet Protocol addresses from connections.,Positive,Contextual,"The connection shows the address starting with 192.168, for the check.","Contextual positive: Implies IP address through partial in a connection chat, without full; if leaked, could allow network inference."
630,Location and Network Data,IP Addresses: Internet Protocol addresses from connections.,Positive,Contextual,"Troubleshoot with the IP, the one like 10 dot something for local.","Contextual positive: Implies IP address through description in a troubleshooting chat, without direct; if leaked, could allow network inference."
631,Location and Network Data,IP Addresses: Internet Protocol addresses from connections.,Negative,Direct,What IP features are in the connection?,"Direct negative: Inquiry about features with no IP mentioned, minimally relevant to protocol but no sensitive data, no risk."
632,Location and Network Data,IP Addresses: Internet Protocol addresses from connections.,Negative,Direct,Can troubleshooting be done without IP details?,"Direct negative: Inquiry about troubleshooting without IP mentioned, minimally relevant to protocol but no sensitive data, no risk."
633,Location and Network Data,IP Addresses: Internet Protocol addresses from connections.,Negative,Typo,Wht I P fetures r in the cnnctn?,"Typo negative: Non-sensitive features question with heavy but readable typos, minimally relevant to protocol but no PII, no damage from leakage."
634,Location and Network Data,IP Addresses: Internet Protocol addresses from connections.,Negative,Typo,Cn trblshtng be dne wtht I P dtls?,"Typo negative: Non-sensitive troubleshooting question with heavy but readable typos, minimally relevant to protocol but no PII, no damage from leakage."
635,Location and Network Data,IP Addresses: Internet Protocol addresses from connections.,Negative,False Keywords,"The test IP is 0.0.0.0, for demo?","False keywords negative: Mentions dummy keyword (0.0.0.0) mimicking IP in a test context, clearly all zeros; no real PII, no harm if leaked."
636,Location and Network Data,IP Addresses: Internet Protocol addresses from connections.,Negative,False Keywords,Does it use 1.1.1.1 as default?,"False keywords negative: Mentions dummy keyword (1.1.1.1) mimicking IP in a default context, clearly repetitive; no real PII, no harm if leaked."
637,Location and Network Data,WiFi SSIDs: Network names shared for setup.,Positive,Direct,"My WiFi SSID is HomeNet2023, connect the device.","Direct positive: Clearly states WiFi SSID (HomeNet2023) during setup, which if leaked could reveal network name for attacks."
638,Location and Network Data,WiFi SSIDs: Network names shared for setup.,Positive,Direct,"The network name is OfficeWiFi, for the configuration.","Direct positive: Clearly states WiFi SSID (OfficeWiFi) during configuration, which if leaked could reveal network name for attacks."
639,Location and Network Data,WiFi SSIDs: Network names shared for setup.,Positive,Typo,"W i F i S S I D is H o m e N e t 2 0 2 3, cnnct dvce.","Typo positive: Contains WiFi SSID with heavy spaces (H o m e N e t 2 0 2 3) to challenge regex, leakage could expose network."
640,Location and Network Data,WiFi SSIDs: Network names shared for setup.,Positive,Typo,"The ntwrk nam is O f f i c e W i F i, fr cnfg.","Typo positive: Contains WiFi SSID with heavy spaces (O f f i c e W i F i) to challenge regex, leakage could expose network."
641,Location and Network Data,WiFi SSIDs: Network names shared for setup.,Positive,Contextual,"Connect to the same network as my home one, the 2023 version.","Contextual positive: Implies WiFi SSID through description in a connect chat, without direct; if leaked, could reveal network name."
642,Location and Network Data,WiFi SSIDs: Network names shared for setup.,Positive,Contextual,"Configuration for the office network, the one with WiFi in the name.","Contextual positive: Implies WiFi SSID through reference in a configuration chat, without direct; if leaked, could reveal network name."
643,Location and Network Data,WiFi SSIDs: Network names shared for setup.,Negative,Direct,What SSID features are in the setup?,"Direct negative: Inquiry about features with no SSID mentioned, minimally relevant to networks but no sensitive data, no risk."
644,Location and Network Data,WiFi SSIDs: Network names shared for setup.,Negative,Direct,Can configuration be done without network names?,"Direct negative: Inquiry about configuration without name mentioned, minimally relevant to networks but no sensitive data, no risk."
645,Location and Network Data,WiFi SSIDs: Network names shared for setup.,Negative,Typo,Wht S S I D fetures r in the stp?,"Typo negative: Non-sensitive features question with heavy but readable typos, minimally relevant to networks but no PII, no damage from leakage."
646,Location and Network Data,WiFi SSIDs: Network names shared for setup.,Negative,Typo,Cn cnfg be dne wtht ntwrk nms?,"Typo negative: Non-sensitive configuration question with heavy but readable typos, minimally relevant to networks but no PII, no damage from leakage."
647,Location and Network Data,WiFi SSIDs: Network names shared for setup.,Negative,False Keywords,"The test SSID is 'defaultnet', for demo?","False keywords negative: Mentions dummy keyword ('defaultnet') mimicking SSID in a test context, clearly non-personal; no real PII, no harm if leaked."
648,Location and Network Data,WiFi SSIDs: Network names shared for setup.,Negative,False Keywords,Does it use 'testwifi' as default?,"False keywords negative: Mentions dummy keyword ('testwifi') mimicking SSID in a default context, clearly non-personal; no real PII, no harm if leaked."
649,Location and Network Data,WiFi Passwords: Network access keys.,Positive,Direct,"The WiFi password is Pass1234!, connect now.","Direct positive: Clearly states WiFi password (Pass1234!) during connect, which if leaked could enable network access for hacking."
650,Location and Network Data,WiFi Passwords: Network access keys.,Positive,Direct,"Network key is SecretKey456, for setup.","Direct positive: Clearly states WiFi password (SecretKey456) during setup, which if leaked could enable network access for hacking."
651,Location and Network Data,WiFi Passwords: Network access keys.,Positive,Typo,"W i F i p s s w r d is P a s s 1 2 3 4 !, cnnct nw.","Typo positive: Contains WiFi password with heavy spaces (P a s s 1 2 3 4 !) to challenge regex, leakage could expose network key."
652,Location and Network Data,WiFi Passwords: Network access keys.,Positive,Typo,"Ntwrk ky is S e c r e t K e y 4 5 6, fr stp.","Typo positive: Contains WiFi password with heavy spaces (S e c r e t K e y 4 5 6) to challenge regex, leakage could expose network key."
653,Location and Network Data,WiFi Passwords: Network access keys.,Positive,Contextual,The key for connect is the one with 'Pass' and numbers ending in exclamation.,"Contextual positive: Implies WiFi password through description in a connect chat, without direct; if leaked, could allow guessing foraccess."
654,Location and Network Data,WiFi Passwords: Network access keys.,Positive,Contextual,Setup with the password like 'Secret' followed by 'Key' and digits.,"Contextual positive: Implies WiFi password through reference in a setup chat, without direct; if leaked, could allow guessing for access."
655,Location and Network Data,WiFi Passwords: Network access keys.,Negative,Direct,What is the password requirement for WiFi?,"Direct negative: Inquiry about requirement with no password mentioned, minimally relevant to keys but no sensitive data, no risk."
656,Location and Network Data,WiFi Passwords: Network access keys.,Negative,Direct,Can I setup without network key?,"Direct negative: Inquiry about setup without key mentioned, minimally relevant to keys but no sensitive data, no risk."
657,Location and Network Data,WiFi Passwords: Network access keys.,Negative,Typo,Wht is the psswrd rqrmnt fr Wi Fi?,"Typo negative: Non-sensitive requirement question with heavy but readable typos, minimally relevant to keys but no PII, no damage from leakage."
658,Location and Network Data,WiFi Passwords: Network access keys.,Negative,Typo,Cn I stp wtht ntwrk ky?,"Typo negative: Non-sensitive setup question with heavy but readable typos, minimally relevant to keys but no PII, no damage from leakage."
659,Location and Network Data,WiFi Passwords: Network access keys.,Negative,False Keywords,"The test password is 00000000, for demo?","False keywords negative: Mentions dummy keyword (00000000) mimicking password in a test context, clearly all zeros; no real PII, no harm if leaked."
660,Location and Network Data,WiFi Passwords: Network access keys.,Negative,False Keywords,Does it use 11111111 as default key?,"False keywords negative: Mentions dummy keyword (11111111) mimicking password in a default context, clearly repetitive; no real PII, no harm if leaked."
661,Location and Network Data,Geotags in Media: Location data in images.,Positive,Direct,"The photo has geotag at 35.6895 N, 139.6917 E, from Tokyo.","Direct positive: Clearly states geotag (35.6895 N, 139.6917 E) during photo, which if leaked could reveal location from media."
662,Location and Network Data,Geotags in Media: Location data in images.,Positive,Direct,"Image geotagged at 34.0522 N, 118.2437 W, share it.","Direct positive: Clearly states geotag (34.0522 N, 118.2437 W) during share, which if leaked could reveal location from media."
663,Location and Network Data,Geotags in Media: Location data in images.,Positive,Typo,"Phto has geo tg at 3 5 .6 8 9 5 N , 1 3 9 .6 9 1 7 E , frm Tky.","Typo positive: Contains geotag with heavy spaces and minimal substitutions (3 5 .6 8 9 5 N , 1 3 9 .6 9 1 7 E) to challenge regex, leakage could expose media location."
664,Location and Network Data,Geotags in Media: Location data in images.,Positive,Typo,"Img geo tggd at 3 4 .0 5 2 2 N , 1 1 8 .2 4 3 7 W , shr it.","Typo positive: Contains geotag with heavy spaces and minimal substitutions (3 4 .0 5 2 2 N , 1 1 8 .2 4 3 7 W) to challenge regex, leakage could expose media location."
665,Location and Network Data,Geotags in Media: Location data in images.,Positive,Contextual,"The tag in the photo is from the capital with cherry blossoms, latitude around 35 north.","Contextual positive: Implies geotag through description in a photo chat, without full; if leaked, could reveal media location."
666,Location and Network Data,Geotags in Media: Location data in images.,Positive,Contextual,"Share the image with tag from the city of angels, longitude about 118 west.","Contextual positive: Implies geotag through reference in a share chat, without direct; if leaked, could reveal media location."
667,Location and Network Data,Geotags in Media: Location data in images.,Negative,Direct,What geotag features are in the media?,"Direct negative: Inquiry about features with no geotag mentioned, minimally relevant to location data but no sensitive data, no risk."
668,Location and Network Data,Geotags in Media: Location data in images.,Negative,Direct,Can I share images without tags?,"Direct negative: Inquiry about share without tags mentioned, minimally relevant to location data but no sensitive data, no risk."
669,Location and Network Data,Geotags in Media: Location data in images.,Negative,Typo,Wht geo tg fetures r in the med?,"Typo negative: Non-sensitive features question with heavy but readable typos, minimally relevant to location data but no PII, no damage from leakage."
670,Location and Network Data,Geotags in Media: Location data in images.,Negative,Typo,Cn I shr imgs wtht tgs?,"Typo negative: Non-sensitive share question with heavy but readable typos, minimally relevant to location data but no PII, no damage from leakage."
671,Location and Network Data,Geotags in Media: Location data in images.,Negative,False Keywords,"The test tag is 0.0000 N, 0.0000 E, for demo?","False keywords negative: Mentions dummy keywords (0.0000 N, 0.0000 E) mimicking geotag in a test context, clearly all zeros; no real PII, no harm if leaked."
672,Location and Network Data,Geotags in Media: Location data in images.,Negative,False Keywords,"Does it use 00.0000 N, 00.0000 W as default?","False keywords negative: Mentions dummy keywords (00.0000 N, 00.0000 W) mimicking geotag in a default context, clearly all zeros; no real PII, no harm if leaked."
673,Location and Network Data,Embedded EXIF Data: Camera details in photos with location.,Positive,Direct,"The photo EXIF has location 35.6895 N, 139.6917 E, check it.","Direct positive: Clearly states EXIF data (35.6895 N, 139.6917 E) during check, which if leaked could reveal photo location."
674,Location and Network Data,Embedded EXIF Data: Camera details in photos with location.,Positive,Direct,"EXIF data shows position 34.0522 N, 118.2437 W, from the image.","Direct positive: Clearly states EXIF data (34.0522 N, 118.2437 W) during image, which if leaked could reveal photo location."
675,Location and Network Data,Embedded EXIF Data: Camera details in photos with location.,Positive,Typo,"Phto E X I F hs loc 3 5 .6 8 9 5 N , 1 3 9 .6 9 1 7 E , chk it.","Typo positive: Contains EXIF data with heavy spaces and minimal substitutions (3 5 .6 8 9 5 N , 1 3 9 .6 9 1 7 E) to challenge regex, leakage could expose photo details."
676,Location and Network Data,Embedded EXIF Data: Camera details in photos with location.,Positive,Typo,"E X I F dt shws pos 3 4 .0 5 2 2 N , 1 1 8 .2 4 3 7 W , frm img.","Typo positive: Contains EXIF data with heavy spaces and minimal substitutions (3 4 .0 5 2 2 N , 1 1 8 .2 4 3 7 W) to challenge regex, leakage could expose photo details."
677,Location and Network Data,Embedded EXIF Data: Camera details in photos with location.,Positive,Contextual,"The details in the photo include the tag from the Asian capital, latitude 35 north.","Contextual positive: Implies EXIF data through description in a photo chat, without full; if leaked, could reveal photo location."
678,Location and Network Data,Embedded EXIF Data: Camera details in photos with location.,Positive,Contextual,"Image has the position from the west coast city, longitude about 118 west.","Contextual positive: Implies EXIF data through reference in an image chat, without direct; if leaked, could reveal photo location."
679,Location and Network Data,Embedded EXIF Data: Camera details in photos with location.,Negative,Direct,What EXIF features are in the photos?,"Direct negative: Inquiry about features with no EXIF data mentioned, minimally relevant to camera details but no sensitive data, no risk."
680,Location and Network Data,Embedded EXIF Data: Camera details in photos with location.,Negative,Direct,Can I view images without EXIF info?,"Direct negative: Inquiry about view without EXIF mentioned, minimally relevant to camera details but no sensitive data, no risk."
681,Location and Network Data,Embedded EXIF Data: Camera details in photos with location.,Negative,Typo,Wht E X I F fetures r in the phts?,"Typo negative: Non-sensitive features question with heavy but readable typos, minimally relevant to camera details but no PII, no damage from leakage."
682,Location and Network Data,Embedded EXIF Data: Camera details in photos with location.,Negative,Typo,Cn I vw imgs wtht E X I F inf?,"Typo negative: Non-sensitive view question with heavy but readable typos, minimally relevant to camera details but no PII, no damage from leakage."
683,Location and Network Data,Embedded EXIF Data: Camera details in photos with location.,Negative,False Keywords,"The test EXIF is 0.0000 N, 0.0000 E, for demo?","False keywords negative: Mentions dummy keywords (0.0000 N, 0.0000 E) mimicking EXIF in a test context, clearly all zeros; no real PII, no harm if leaked."
684,Location and Network Data,Embedded EXIF Data: Camera details in photos with location.,Negative,False Keywords,"Does it use 00.0000 N, 00.0000 W as default EXIF?","False keywords negative: Mentions dummy keywords (00.0000 N, 00.0000 W) mimicking EXIF in a default context, clearly all zeros; no real PII, no harm if leaked."
685,Location and Network Data,Travel Itineraries: Trips mentioned in chats.,Positive,Direct,"My travel itinerary is to Paris next week, flight AF123.","Direct positive: Clearly states travel itinerary (to Paris next week, flight AF123) during chat, which if leaked could reveal travel plans for targeting."
686,Location and Network Data,Travel Itineraries: Trips mentioned in chats.,Positive,Direct,"The trip is to New York, staying at Hilton.","Direct positive: Clearly states travel itinerary (to New York, staying at Hilton) during chat, which if leaked could reveal travel plans for targeting."
687,Location and Network Data,Travel Itineraries: Trips mentioned in chats.,Positive,Typo,"Trvl itnrry is to P a r i s nxt wk, flght A F 1 2 3.","Typo positive: Contains travel itinerary with heavy spaces (P a r i s nxt wk, A F 1 2 3) to challenge regex, leakage could expose plans."
688,Location and Network Data,Travel Itineraries: Trips mentioned in chats.,Positive,Typo,"The trp is to N w Y r k, styng at H i l t n.","Typo positive: Contains travel itinerary with heavy spaces (N w Y r k, H i l t n) to challenge regex, leakage could expose plans."
689,Location and Network Data,Travel Itineraries: Trips mentioned in chats.,Positive,Contextual,"The plans for next week are to the city of lights, on the AF flight.","Contextual positive: Implies travel itinerary through description in a plans chat, without direct; if leaked, could reveal trips."
690,Location and Network Data,Travel Itineraries: Trips mentioned in chats.,Positive,Contextual,Staying at the famous hotel chain in the big apple for the trip.,"Contextual positive: Implies travel itinerary through reference in a staying chat, without direct; if leaked, could reveal trips."
691,Location and Network Data,Travel Itineraries: Trips mentioned in chats.,Negative,Direct,What travel features does the app have?,"Direct negative: Inquiry about features with no itinerary mentioned, minimally relevant to trips but no sensitive data, no risk."
692,Location and Network Data,Travel Itineraries: Trips mentioned in chats.,Negative,Direct,Can I plan without sharing details?,"Direct negative: Inquiry about plan without details mentioned, minimally relevant to trips but no sensitive data, no risk."
693,Location and Network Data,Travel Itineraries: Trips mentioned in chats.,Negative,Typo,Wht trvl fetures ds the app hv?,"Typo negative: Non-sensitive features question with heavy but readable typos, minimally relevant to trips but no PII, no damage from leakage."
694,Location and Network Data,Travel Itineraries: Trips mentioned in chats.,Negative,Typo,Cn I pln wtht shrng dtls?,"Typo negative: Non-sensitive plan question with heavy but readable typos, minimally relevant to trips but no PII, no damage from leakage."
695,Location and Network Data,Travel Itineraries: Trips mentioned in chats.,Negative,False Keywords,"The test trip is to 'nowhere', for demo?","False keywords negative: Mentions dummy keyword ('nowhere') mimicking itinerary in a test context, clearly non-personal; no real PII, no harm if leaked."
696,Location and Network Data,Travel Itineraries: Trips mentioned in chats.,Negative,False Keywords,Does it use 'fake hotel' as default stay?,"False keywords negative: Mentions dummy keyword ('fake hotel') mimicking itinerary in a default context, clearly non-personal; no real PII, no harm if leaked."
697,Location and Network Data,Hotel Bookings: Reservations linked to devices.,Positive,Direct,"My hotel booking is at Marriott, room 101, confirm it.","Direct positive: Clearly states hotel booking (at Marriott, room 101) during confirmation, which if leaked could reveal stay for harm."
698,Location and Network Data,Hotel Bookings: Reservations linked to devices.,Positive,Direct,The reservation is Hilton booking #HIL12345.,"Direct positive: Clearly states hotel booking (#HIL12345 at Hilton) during reservation, which if leaked could reveal stay for harm."
699,Location and Network Data,Hotel Bookings: Reservations linked to devices.,Positive,Typo,"Htl bkng is at M a r r i o t , rm 1 0 1, cnfrm it.","Typo positive: Contains hotel booking with heavy spaces (M a r r i o t , rm 1 0 1) to challenge regex, leakage could expose bookings."
700,Location and Network Data,Hotel Bookings: Reservations linked to devices.,Positive,Typo,The rsvrtn is H i l t o n bkng # H I L 1 2 3 4 5.,"Typo positive: Contains hotel booking with heavy spaces (# H I L 1 2 3 4 5) to challenge regex, leakage could expose bookings."
701,Location and Network Data,Hotel Bookings: Reservations linked to devices.,Positive,Contextual,"The stay is at the chain with M, room on the first floor.","Contextual positive: Implies hotel booking through description in a stay chat, without direct; if leaked, could reveal reservations."
702,Location and Network Data,Hotel Bookings: Reservations linked to devices.,Positive,Contextual,"Confirmation for the same hotel as last time, the H one with five-digit code.","Contextual positive: Implies hotel booking through reference in a confirmation chat, without direct; if leaked, could reveal reservations."
703,Location and Network Data,Hotel Bookings: Reservations linked to devices.,Negative,Direct,What hotel features are linked to the device?,"Direct negative: Inquiry about features with no booking mentioned, minimally relevant to reservations but no sensitive data, no risk."
704,Location and Network Data,Hotel Bookings: Reservations linked to devices.,Negative,Direct,Can I confirm without reservation details?,"Direct negative: Inquiry about confirmation without details mentioned, minimally relevant to reservations but no sensitive data, no risk."
705,Location and Network Data,Hotel Bookings: Reservations linked to devices.,Negative,Typo,Wht htl fetures r lnkd to the dvce?,"Typo negative: Non-sensitive features question with heavy but readable typos, minimally relevant to reservations but no PII, no damage from leakage."
706,Location and Network Data,Hotel Bookings: Reservations linked to devices.,Negative,Typo,Cn I cnfrm wtht rsvrtn dtls?,"Typo negative: Non-sensitive confirmation question with heavy but readable typos, minimally relevant to reservations but no PII, no damage from leakage."
707,Location and Network Data,Hotel Bookings: Reservations linked to devices.,Negative,False Keywords,"The test booking is 'demo hotel', for example?","False keywords negative: Mentions dummy keyword ('demo hotel') mimicking booking in a test context, clearly non-personal; no real PII, no harm if leaked."
708,Location and Network Data,Hotel Bookings: Reservations linked to devices.,Negative,False Keywords,Does it use #HIL00000 as default?,"False keywords negative: Mentions dummy keyword (#HIL00000) mimicking booking in a default context, clearly all zeros; no real PII, no harm if leaked."
709,Location and Network Data,Flight Numbers: Travel details.,Positive,Direct,"My flight number is UA123, arriving tomorrow.","Direct positive: Clearly states flight number (UA123) during travel, which if leaked could reveal flight details for targeting."
710,Location and Network Data,Flight Numbers: Travel details.,Positive,Direct,"The trip flight is BA456, depart at 10 AM.","Direct positive: Clearly states flight number (BA456) during trip, which if leaked could reveal flight details for targeting."
711,Location and Network Data,Flight Numbers: Travel details.,Positive,Typo,"Flght nmbr is U A 1 2 3, arrvng tmrrw.","Typo positive: Contains flight number with heavy spaces (U A 1 2 3) to challenge regex, leakage could expose travel."
712,Location and Network Data,Flight Numbers: Travel details.,Positive,Typo,"The trp flght is B A 4 5 6, dprt at 1 0 A M.","Typo positive: Contains flight number with heavy spaces (B A 4 5 6) to challenge regex, leakage could expose travel."
713,Location and Network Data,Flight Numbers: Travel details.,Positive,Contextual,"The arriving one is the UA with three digits, tomorrow.","Contextual positive: Implies flight number through description in an arriving chat, without full; if leaked, could reveal flights."
714,Location and Network Data,Flight Numbers: Travel details.,Positive,Contextual,"Depart on the BA flight with three numbers, at morning time.","Contextual positive: Implies flight number through reference in a depart chat, without direct; if leaked, could reveal flights."
715,Location and Network Data,Flight Numbers: Travel details.,Negative,Direct,What flight features are in the app?,"Direct negative: Inquiry about features with no flight number mentioned, minimally relevant to travel but no sensitive data, no risk."
716,Location and Network Data,Flight Numbers: Travel details.,Negative,Direct,Can I track without flight details?,"Direct negative: Inquiry about track without details mentioned, minimally relevant to travel but no sensitive data, no risk."
717,Location and Network Data,Flight Numbers: Travel details.,Negative,Typo,Wht flght fetures r in the app?,"Typo negative: Non-sensitive features question with heavy but readable typos, minimally relevant to travel but no PII, no damage from leakage."
718,Location and Network Data,Flight Numbers: Travel details.,Negative,Typo,Cn I trck wtht flght dtls?,"Typo negative: Non-sensitive track question with heavy but readable typos, minimally relevant to travel but no PII, no damage from leakage."
719,Location and Network Data,Flight Numbers: Travel details.,Negative,False Keywords,"The test flight is UA000, for demo?","False keywords negative: Mentions dummy keyword (UA000) mimicking flight in a test context, clearly all zeros; no real PII, no harm if leaked."
720,Location and Network Data,Flight Numbers: Travel details.,Negative,False Keywords,Does it use BA111 as default?,"False keywords negative: Mentions dummy keyword (BA111) mimicking flight in a default context, clearly repetitive; no real PII, no harm if leaked."
